D:\download\interview-sim-backend-main3\venv\Lib\site-packages\langgraph\cache\base\__init__.py:8: LangChainPendingDeprecationWarning: The default value of `allowed_objects` will change in a future version. Pass an explicit value (e.g., allowed_objects='messages' or allowed_objects='core') to suppress this warning.
  from langgraph.checkpoint.serde.jsonplus import JsonPlusSerializer
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.102:5000
Press CTRL+C to quit
192.168.1.97 - - [11/May/2026 15:45:43] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:45:45] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:47] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:45:47] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:47] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:45:47] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:45:48] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:49:16] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:49:16] "GET /dashboard/progress HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:49:17] "GET /api/v1/sessions HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:49:17] "GET /sessions HTTP/1.1" 200 -
192.168.1.97 - - [11/May/2026 15:49:18] "GET /api/v1/dashboard/progress HTTP/1.1" 404 -
192.168.1.97 - - [11/May/2026 15:49:18] "GET /dashboard/progress HTTP/1.1" 200 -
